# Projectile motion simulation with air resistance
# Initial velocity: 30 m/s at 45 degrees
"# Mass: 0.5 kg, Drag coefficient: 0.01"
time_s,x_position_m,y_position_m,x_velocity_m/s,y_velocity_m/s,kinetic_energy_J
0.000,0.000000,0.000000,21.213203,21.213203,225.000000
0.050,1.044750,1.020225,20.895005,20.404505,213.236272
0.100,2.074244,2.001028,20.589884,19.616046,202.183146
0.150,3.089100,2.943359,20.297114,18.846624,191.792013
0.200,4.089901,3.848115,20.016021,18.095119,182.018605
0.250,5.077200,4.716139,19.745976,17.360490,172.822547
0.300,6.051520,5.548227,19.486392,16.641765,164.166955
0.350,7.013356,6.345129,19.236717,15.938038,156.018089
0.400,7.963177,7.107552,18.996437,15.248461,148.345041
0.450,8.901431,7.836164,18.765066,14.572239,141.119463
0.500,9.828538,8.531596,18.542149,13.908630,134.315317
0.550,10.744901,9.194443,18.327256,13.256937,127.908666
0.600,11.650900,9.825268,18.119980,12.616505,121.877471
0.650,12.546897,10.424604,17.919939,11.986721,116.201425
0.700,13.433235,10.992954,17.726768,11.367008,110.861794
0.750,14.310241,11.530796,17.540121,10.756824,105.841278
0.800,15.178225,12.038578,17.359670,10.155658,101.123884
0.850,16.037480,12.516730,17.185100,9.563033,96.694818
0.900,16.888285,12.965655,17.016113,8.978496,92.540376
0.950,17.730907,13.385736,16.852422,8.401625,88.647855
1.000,18.565594,13.777337,16.693751,7.832021,85.005471
1.050,19.392586,14.140803,16.539837,7.269311,81.602277
1.100,20.212107,14.476460,16.390427,6.713144,78.428098
1.150,21.024371,14.784620,16.245274,6.163193,75.473465
1.200,21.829578,15.065577,16.104142,5.619150,72.729559
1.250,22.627918,15.319614,15.966803,5.080729,70.188153
1.300,23.419570,15.546997,15.833036,4.547664,67.841568
1.350,24.204701,15.747982,15.702626,4.019706,65.682622
1.400,24.983470,15.922813,15.575364,3.496629,63.704593
1.450,25.756022,16.071724,15.451049,2.978220,61.901177
1.500,26.522496,16.194939,15.329484,2.464288,60.266451
1.550,27.283020,16.292672,15.210479,1.954658,58.794841
1.600,28.037713,16.365130,15.093849,1.449170,57.481090
1.650,28.786683,16.412514,14.979413,0.947683,56.320226
1.700,29.530033,16.435018,14.866997,0.450071,55.307540
1.750,30.267855,16.432829,14.756433,-0.043776,54.438554
1.800,31.000232,16.406131,14.647556,-0.533953,53.709000
1.850,31.727243,16.355104,14.540209,-1.020540,53.114796
1.900,32.448955,16.279924,14.434240,-1.503603,52.652028
1.950,33.165430,16.180765,14.329503,-1.983192,52.316927
2.000,33.876723,16.057797,14.225857,-2.459348,52.105850
2.050,34.582881,15.911193,14.123169,-2.932095,52.015268
2.100,35.283947,15.741120,14.021310,-3.401448,52.041746
2.150,35.979955,15.547750,13.920160,-3.867410,52.181931
2.200,36.670935,15.331251,13.819605,-4.329973,52.432539
2.250,37.356912,15.091795,13.719537,-4.789120,52.790341
2.300,38.037905,14.829554,13.619855,-5.244823,53.252156
2.350,38.713928,14.544701,13.520465,-5.697050,53.814840
2.400,39.384992,14.237414,13.421281,-6.145757,54.475279
2.450,40.051103,13.907869,13.322222,-6.590897,55.230381
2.500,40.712264,13.556248,13.223215,-7.032415,56.077071
2.550,41.368474,13.182735,13.124194,-7.470253,57.012285
2.600,42.019729,12.787518,13.025097,-7.904348,58.032970
2.650,42.666022,12.370786,12.925873,-8.334633,59.136076
2.700,43.307346,11.932734,12.826473,-8.761040,60.318558
2.750,43.943689,11.473559,12.726856,-9.183497,61.577373
2.800,44.575038,10.993463,12.626987,-9.601933,62.909481
2.850,45.201380,10.492649,12.526836,-10.016275,64.311843
2.900,45.822699,9.971326,12.426377,-10.426450,65.781425
2.950,46.438978,9.429707,12.325592,-10.832385,67.315196
3.000,47.050202,8.868007,12.224466,-11.234010,68.910135
3.050,47.656351,8.286444,12.122988,-11.631254,70.563226
3.100,48.257409,7.685242,12.021152,-12.024049,72.271466
3.150,48.853356,7.064625,11.918957,-12.412330,74.031868
3.200,49.444177,6.424823,11.816404,-12.796032,75.841461
3.250,50.029852,5.766069,11.713499,-13.175095,77.697297
3.300,50.610364,5.088596,11.610249,-13.549462,79.596449
3.350,51.185697,4.392642,11.506666,-13.919078,81.536022
3.400,51.755835,3.678447,11.402764,-14.283892,83.513151
3.450,52.320763,2.946254,11.298559,-14.643858,85.525005
3.500,52.880467,2.196308,11.194070,-14.998932,87.568794
3.550,53.434933,1.428854,11.089318,-15.349075,89.641770
3.600,53.984149,0.644141,10.984325,-15.694251,91.741228
3.650,54.528105,0.000000,0.000000,0.000000,0.000000
3.700,54.528105,0.000000,0.000000,0.000000,0.000000
3.750,54.528105,0.000000,0.000000,0.000000,0.000000
3.800,54.528105,0.000000,0.000000,0.000000,0.000000
3.850,54.528105,0.000000,0.000000,0.000000,0.000000
3.900,54.528105,0.000000,0.000000,0.000000,0.000000
3.950,54.528105,0.000000,0.000000,0.000000,0.000000
4.000,54.528105,0.000000,0.000000,0.000000,0.000000
4.050,54.528105,0.000000,0.000000,0.000000,0.000000
4.100,54.528105,0.000000,0.000000,0.000000,0.000000
4.150,54.528105,0.000000,0.000000,0.000000,0.000000
4.200,54.528105,0.000000,0.000000,0.000000,0.000000
4.250,54.528105,0.000000,0.000000,0.000000,0.000000
4.300,54.528105,0.000000,0.000000,0.000000,0.000000
4.350,54.528105,0.000000,0.000000,0.000000,0.000000
4.400,54.528105,0.000000,0.000000,0.000000,0.000000
4.450,54.528105,0.000000,0.000000,0.000000,0.000000
4.500,54.528105,0.000000,0.000000,0.000000,0.000000
4.550,54.528105,0.000000,0.000000,0.000000,0.000000
4.600,54.528105,0.000000,0.000000,0.000000,0.000000
4.650,54.528105,0.000000,0.000000,0.000000,0.000000
4.700,54.528105,0.000000,0.000000,0.000000,0.000000
4.750,54.528105,0.000000,0.000000,0.000000,0.000000
4.800,54.528105,0.000000,0.000000,0.000000,0.000000
4.850,54.528105,0.000000,0.000000,0.000000,0.000000
4.900,54.528105,0.000000,0.000000,0.000000,0.000000
4.950,54.528105,0.000000,0.000000,0.000000,0.000000
